ticker,strategy,final_value,cumulative_return,cagr,max_drawdown,daily_sharpe,calmar,market_exposure,max_drawdown_duration_days,average_drawdown_duration_days
SPY,BuyAndHold,190619.92320000002,0.9061992320000003,0.13781600191049992,0.31714054035160455,0.7539979240024147,0.43455813551212125,0.9515556082637149,708,17.46067415730337
SPY,MovingAverageCross,152076.49475812234,0.5207649475812235,0.08752026593861384,0.19868597183436795,0.7597298401105939,0.4404954468127926,0.6557292802831507,806,30.86
SPY,TimeSeriseMomentum,163895.84132999997,0.6389584132999997,0.10393367032634448,0.1679242724967509,1.0202127063120605,0.618931788603434,0.607286830507223,779,19.7
