phase,ticker,fast,slow,sharpe,max_drawdown,annual_returns,start_year,end_year,final_value,annual_return,trade
train,SPY,5,40,0.5645769642167486,14.826668044649104,6.8266157177116735,2020,2023,,,
test,SPY,5,40,65.88344690024155,6.417222742330265,,2023,2025,134866.7769205902,16.2013742463855,"AutoOrderedDict({'total': AutoOrderedDict({'total': 7, 'open': 1, 'closed': 6}), 'streak': AutoOrderedDict({'won': AutoOrderedDict({'current': 1, 'longest': 2}), 'lost': AutoOrderedDict({'current': 0, 'longest': 1})}), 'pnl': AutoOrderedDict({'gross': AutoOrderedDict({'total': 38848.012105929185, 'average': 6474.668684321531}), 'net': AutoOrderedDict({'total': 37484.07304630981, 'average': 6247.345507718302})}), 'won': AutoOrderedDict({'total': 4, 'pnl': AutoOrderedDict({'total': 40891.18516409068, 'average': 10222.79629102267, 'max': 16594.560659088656})}), 'lost': AutoOrderedDict({'total': 2, 'pnl': AutoOrderedDict({'total': -3407.1121177808786, 'average': -1703.5560588904393, 'max': -2636.3248085932432})}), 'long': AutoOrderedDict({'total': 6, 'pnl': AutoOrderedDict({'total': 37484.07304630981, 'average': 6247.345507718302, 'won': AutoOrderedDict({'total': 40891.18516409068, 'average': 10222.79629102267, 'max': 16594.560659088656}), 'lost': AutoOrderedDict({'total': -3407.1121177808786, 'average': -1703.5560588904393, 'max': -2636.3248085932432})}), 'won': 4, 'lost': 2}), 'short': AutoOrderedDict({'total': 0, 'pnl': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})}), 'won': 0, 'lost': 0}), 'len': AutoOrderedDict({'total': 347, 'average': 57.833333333333336, 'max': 109, 'min': 4, 'won': AutoOrderedDict({'total': 329, 'average': 82.25, 'max': 109, 'min': 55}), 'lost': AutoOrderedDict({'total': 18, 'average': 9.0, 'max': 14, 'min': 4}), 'long': AutoOrderedDict({'total': 347, 'average': 57.833333333333336, 'max': 109, 'min': 4, 'won': AutoOrderedDict({'total': 329, 'average': 82.25, 'max': 109, 'min': 55}), 'lost': AutoOrderedDict({'total': 18, 'average': 9.0, 'max': 14, 'min': 4})}), 'short': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})})})"
