ticker,fast,slow,sharpe,max_drawdown,annual_returns
QQQ,25,80,0.5289938140525225,32.156477218485875,10.556596730542326
QQQ,10,70,0.5274862115734983,19.8566966160074,10.320076942534143
QQQ,5,100,0.5249087353558712,16.918953333642236,7.850189810707057
AAPL,15,80,0.5228867169737444,34.04848500075879,13.108431696266859
QQQ,10,100,0.5216555121302682,17.496971629274082,8.221632695095874
SPY,25,50,0.5193276758193229,29.573259519162182,9.112644601730631
SPY,15,50,0.5158115783187147,24.507215101253358,7.683729884197588
SPY,5,50,0.5102963701233374,19.927077942661935,6.631585054925893
SPY,20,50,0.5074842354668996,27.234351726148148,8.139944628416869
AAPL,30,60,0.5014537577022999,33.991748622101476,11.786811384085846
QQQ,25,50,0.49846153039270447,29.458004058620936,9.674203224447501
SPY,30,50,0.49644545208008456,31.009601097436104,8.842177478434811
SPY,5,60,0.4953284178686156,21.7251796426309,7.133996641235651
SPY,30,60,0.48935083510755284,31.800923878109135,8.652342332428638
QQQ,25,60,0.47522638746171864,32.34209818468132,9.436634579071457
MSFT,20,60,0.47470829125567815,31.49863440165052,10.087736971471784
QQQ,20,50,0.47376609923002294,28.967099612072825,9.000987955051633
MSFT,10,100,0.4692612390588995,21.370766595401072,10.454383123690565
SPY,10,60,0.4684520865698175,23.523143202345018,6.852143840246007
QQQ,20,100,0.46440169370814244,13.09349356117478,7.273931661425552
QQQ,15,70,0.45966298211441464,27.35847202617226,9.265782957426415
QQQ,15,60,0.4590326895952476,28.968487675543507,9.03561064167849
QQQ,30,50,0.45687627076391224,36.56858696113558,9.284413313705803
MSFT,20,40,0.4553163703504031,31.78843176322307,7.400134877048113
MSFT,20,70,0.4538565748153165,33.89819763891396,10.027442146127632
MSFT,15,70,0.45227851525047524,30.05443987004649,9.453723815643988
SPY,15,60,0.4470090083321638,26.838676475066297,7.127084191049997
QQQ,15,100,0.446548730897172,14.996897483024076,6.336308173646235
MSFT,30,40,0.4461800399119394,33.11359123358793,8.13773417184021
QQQ,20,70,0.4449991761584213,35.766590579212846,8.935513324814083
QQQ,20,60,0.4405490346710763,30.753462420454664,8.510285201066987
QQQ,15,50,0.4301219050997326,22.086117047242144,7.399953003356741
QQQ,20,40,0.42650282376210813,29.4049838514384,8.256340261428118
QQQ,30,40,0.42077203023297727,33.029409379165536,8.476849362760507
MSFT,15,80,0.4197025297623933,27.735253076504573,8.859575408294305
MSFT,20,80,0.41413437114855123,32.12520962475327,8.856154398654867
QQQ,30,60,0.41308480209591153,37.613213498907314,8.161250722799855
QQQ,30,100,0.4043994852591654,18.493859548062936,6.149954340906578
MSFT,10,60,0.40284560656219914,31.67775011660509,7.844187664091646
MSFT,5,90,0.39791404851788503,23.486542259641826,8.669016399193739
MSFT,10,70,0.39506920244842053,29.059366498137596,7.94624461084019
QQQ,20,90,0.3935295548927742,25.122739963448094,6.37265198425562
MSFT,15,40,0.3935014721690466,28.602765459119322,5.59643165326064
QQQ,5,90,0.383038882601269,20.2270942763314,6.060179698984696
QQQ,25,100,0.3814655695809555,19.89804346269657,5.934249988516083
MSFT,30,90,0.37631905639834023,21.606284977538213,6.249436155075756
QQQ,25,70,0.3735297260047353,41.11649598219217,7.033639185680202
MSFT,5,80,0.3671291751290211,24.202468928491353,7.596845812743331
AAPL,20,100,0.36392337440568606,33.74789068430749,6.2421907300390576
AAPL,10,100,0.35551237864860163,27.083906122620483,5.843525906639554
MSFT,10,90,0.35545935919564553,26.793559500669765,7.227911620013428
AAPL,15,100,0.3470592155350899,29.14293787104151,5.635615723014062
MSFT,15,100,0.33988099441856223,18.061424601749234,5.756160185125474
QQQ,25,90,0.3396158138635438,29.37871122699933,5.596921438179346
MSFT,25,40,0.3380376723179717,34.00804701337979,5.685862265349241
MSFT,20,50,0.3318371678960673,38.88307385964803,5.60925582074575
AAPL,10,90,0.3314089322068138,25.81303577543861,5.131253582048051
MSFT,15,50,0.32602463264106196,32.7321946204333,5.379447758625427
MSFT,10,80,0.3255060447781739,30.246876570918552,6.704715033400187
AAPL,30,100,0.324119772777355,29.361126845437475,5.1307163396057165
MSFT,5,40,0.3203271162650131,31.998117484354093,5.7096309113714305
QQQ,5,80,0.3110521004848771,24.240716343199807,5.248343655057941
QQQ,15,40,0.30959192918567885,32.369522922444816,5.062151933687475
MSFT,25,50,0.3027269296069012,31.427542311417557,5.0514003601914
MSFT,5,50,0.2959775804355043,29.774350772220366,5.146849110787483
MSFT,10,40,0.294235322496995,26.76606163402795,4.975194992867025
MSFT,5,70,0.28732540528590905,24.508757338765857,5.5300941829866685
MSFT,30,100,0.2747123204395562,19.489424052252406,4.076431903672577
AAPL,15,90,0.26864042092835844,33.868240456744765,4.169931837274259
AAPL,25,100,0.2681641647809735,35.03203486043569,4.1782754961235415
MSFT,25,100,0.2625167596617217,18.52047478539689,4.05407718361295
MSFT,10,50,0.2581977353820192,32.50821058692344,4.237173403999814
QQQ,15,90,0.24976233781796145,22.878213674972493,3.7909621054448346
MSFT,25,90,0.24592987294623403,24.00271207737182,3.7861064062949987
MSFT,30,50,0.2325104546904129,36.99969171358326,3.445701480893784
QQQ,10,80,0.23223008868585826,17.368635009971808,3.556439737991178
MSFT,20,100,0.20938618811312443,19.16000424282422,3.1017522732025147
SPY,5,100,0.19514109536961768,23.806208420015768,2.7099270271191203
MSFT,15,90,0.19033783122584944,20.409603922541184,2.808755889817112
MSFT,20,90,0.1332151465884888,26.243648478662763,1.9469887708973947
