,ticker,strategy,start_year,end_year,final_value,sharpe,max_drawdown,annual_return,signal_history,fast,slow,lookback,threshold,target_percent
0,SPY,BuyAndHold,2018,2025,190619.92320000002,0.8525081495044993,31.714054035160455,13.79488513041257,,,,,,
1,SPY,MovingAverageCross,2018,2025,157780.1120589299,0.7101057450854388,22.088173573396887,9.56539927800104,,30.0,35.0,,,
2,SPY,TimeSeriseMomentum,2018,2025,125432.4755600001,0.41790327333409444,16.60303845905911,4.643748817117179,"[0.03917198527673671, 0.044439907445215754, 0.04542372881355927, 0.044090151952952183, 0.02782849800500453, -0.012963895885810262, -0.0400821853211627, -0.050145519017830265, -0.09142991155186286, -0.09727561424034759, -0.0659726826680811, -0.09554497984004218, -0.055664094837577394, -0.08714654658631882, -0.10328405595793244, -0.1658769353977576, -0.10845089527943574, -0.1607208779407323, -0.24036006986430214, -0.17811108507147877, -0.2544840755643456, -0.22004467912266445, -0.2706541308261653, -0.27744635971128184, -0.3109089117366882, -0.32492321918034417, -0.2692169010391058, -0.25955497382198955, -0.22132266874756146, -0.2437182658508007, -0.22042049848893508, -0.23004495992702156, -0.26819066147859916, -0.24822556488897562, -0.2513734908050137, -0.17370444724216538, -0.14702270255096672, -0.11512995703317597, -0.05940484531140522, -0.06406221070172191, -0.07645346773621076, -0.0694266817700151, -0.10267199663370508, -0.04675371780921289, -0.0477981854392564, 0.0014801776213144713, -0.026626093571700205, 0.02319257837492006, 0.14719667492041033, 0.07210069656605156, 0.19828019942368402, 0.16668836523022157, 0.21749862863411962, 0.18268485152579483, 0.2393936504909906, 0.2836317385774385, 0.16901408450704225, 0.16567968888103235, 0.11958745667877557, 0.15420037872267156, 0.09562317632346806, 0.09249777853002161, 0.15769418228543564, 0.1367691641403206, 0.18860959746879957, 0.10237193213638607, 0.11995557201036644, 0.07609950248756214, 0.061941351732789585, 0.08494559841740856, 0.06956187548039972, 0.09078415203989487, 0.0903477921062914, 0.06597922453483496, 0.09408164846231326, 0.14336502356794756, 0.11559202813599057, 0.14428638424261386, 0.14218539217575632, 0.11755765796572826, 0.11642110084739299, 0.025219461389674347, 0.047232860253811015, 0.08581456340635607, 0.1036538461538461, 0.08898628048780499, 0.0968459826567416, 0.0775675778140048, 0.06683325252675942, 0.0715164622096276, 0.06543905037285058, 0.09624694992060112, 0.05756276791181891, 0.0681956720512038, 0.04987429754510497, 0.06821068360104587, 0.0561616161616163, 0.07992750675000937, 0.06674542232722969, 0.061811684049303484, 0.04031620553359683, 0.052845674790309216, 0.0391369794279981, 0.048366946278779244, 0.0493149715013983, 0.03210704678056109, 0.03783102143757855, 0.02004781420765034, 0.010022271714922093, 0.023391017577261808, 0.016890043763676088, 0.07212829257673614, 0.06718772407858897, 0.050580755159308044, 0.04342219898937105, 0.04405949256342945, 0.05191352410270755, 0.0652992294972381, 0.0626114315679076, 0.06427254062706611, 0.09945007856020549, 0.08857405313736577, 0.11837724377533299, 0.09308795206505471, 0.09430573652146346, 0.08473213036788363, 0.0788064269319051, 0.0657921775464072, 0.07924972314507217, 0.0665933990452312, 0.07602238187344557, 0.06893014668171094, 0.0891908670759467, 0.0789921688798092, 0.07989203778677467, 0.08584388328481474, 0.08967868232752818, 0.0770415508755482, 0.0848618489191808, 0.09434902494933728, 0.06943043507497815, 0.06761421319796956, 0.030907747093999793, 0.057984244514318606, 0.02695300758157715, 0.031172487765636525, 0.036548054539408126, 0.03461144687737372, 0.026516646927227328, 0.011247711221553658, -0.007047971678196596, -0.018791989873746417, -0.011746432385205341, -0.0266575306708432, -0.03745776347546259, -0.020148940971662532, -0.0039007092198580784, -0.012468266975159903, -0.007118578849483859, 0.0034453889747552147, -0.00918049626039208, 0.0048299907238589235, -0.01937935402153268, -0.005774692331965925, -0.0069357660584853376, -0.0002493921067397986, 0.009323215115378591, 0.006372792837602725, -0.009269809984293609, -0.02461977474879329, 0.009526204923444581, 0.0023456320527450725, 0.03464120445805907, 0.012686948740892046, 0.03626252113958617, 0.0392341698088674, 0.00676954666495555, -0.0017556740192165021, -0.03201717838600093, -0.013515261251939803, -0.01242967421169705, 0.009857105054247306, 0.01732154551408005, 0.064798364117864, 0.08264518070275129, 0.06521023886293342, 0.06097284701770267, 0.06521102469818763, 0.06504327606252414, 0.047973558386548154, 0.07266660187254992, 0.06713567199337889, 0.0766920692327564, 0.045545434347922686, 0.04070974642924563, 0.024446523230433614, 0.014269931872583186, 0.03737682636765194, 0.0423375815977618, 0.04652972300031122, 0.0425412644036125, 0.07020428815381696, 0.06815962707486856, 0.0698980718861435, 0.07321972193453208, 0.06740483563229183, 0.09069471000637352, 0.08464441033512404, 0.12266993345031962, 0.1100622746640445, 0.116719660837308, 0.11929249918113327, 0.10161253983069929, 0.08352222641984652, 0.05858011919834483, 0.05500988386459116, 0.040173260531372934, 0.04261493813960593, 0.03896537085329621, 0.05817870047155371, 0.04173965569314397, 0.030367210571846215, 0.041178058363074754, 0.03952401189970245, 0.042321644498186206, 0.05576185548182866, 0.06505098181598146, 0.0541643093231694, 0.04864010497435278, 0.04594795539033458, 0.05344127135858523, 0.038413805330654194, 0.028661575207147738, 0.03701628126474743, 0.04240262018949581, 0.04547852077594783, 0.03874247647986917, 0.05227158819540678, 0.05099091659785304, 0.02651470414550605, 0.04001067742318165, 0.005589371415193556, 0.02071524571962846, 0.029404073568294775, 0.034305717619603326, 0.04982873203150162, 0.055718475073313734, 0.06240843832405507, 0.057583982721886695, 0.04812199780079873, 0.05180911515713782, 0.055499261746909445, 0.04928563198525171, 0.0639820114472609, 0.05220417633410679, 0.04411001556824079, 0.020908496917701136, 0.016355008191627718, 0.034524926769615716, 0.00941143019618984, 0.001502906564582629, 0.029366569916339458, 0.028866274903253553, 0.0073096504451208855, -0.01873983055602313, -0.0015695947082233763, -0.00303780378037799, 0.007228510590608472, 0.015068608468726374, 0.05105562906287742, 0.04349066020248116, 0.071152111282484, 0.052297123228853604, 0.04115272799119363, 0.025242554151624574, 0.011824088792214082, 0.0159166666666668, 0.0006894649751791881, -0.0037255767744784896, 0.0022914883631044436, 0.016814134898977207, 0.011300674749026296, 0.00947099678809682, 0.013338822560724495, 0.02866593164277842, 0.045283852440910044, 0.05275899490775515, 0.05269447764097723, 0.04618302773730654, 0.07980056899805632, 0.08579194744889285, 0.06322220379277943, 0.06792600022289097, 0.09391235599728942, 0.1112985305048888, 0.08584582561338494, 0.08331452432005415, 0.0781641168289291, 0.061701774755349215, 0.06245039818286302, 0.06324132276578309, 0.056699630515105515, 0.057722648386921094, 0.06086155013961547, 0.06943412835960494, 0.07375354849378501, 0.05864982364039051, 0.06741077580267318, 0.08141048724412059, 0.08318642573821067, 0.05546368836238447, 0.046569026308652006, 0.027058631567496993, 0.03521031391349094, 0.039871382636655905, 0.022532755705832574, 0.014352549361668299, 0.01050769596324952, 0.01655411619412983, 0.008373767412740651, 0.018279962449149867, 0.013052182730558082, 0.018523349856509164, 0.008208146197924648, 0.006663065009904656, 0.010754912099276037, 0.01979321301143311, 0.006501547987616041, 0.025074207155131978, 0.013059268990031736, 0.011181369524984497, 0.009898444530145323, 0.014890443370023654, 0.010119595216191213, 0.01908681672025736, 0.015015785826125061, 0.015625807118136326, 0.0149492654462835, -0.006659836065573632, 0.0002797273929406874, 0.015667137536920395, 0.023583072019073947, 0.05200307146450611, 0.04319614871405775, 0.029504225932797334, 0.03267973856209161, 0.04252657911194491, 0.051051600261267094, 0.047819681029803274, 0.04677273315224406, 0.039872980101923305, 0.03367297179375317, 0.0426485655737705, 0.04585253456221183, 0.040429338103756596, 0.04286883568651545, 0.03769440968409232, 0.03337434635496761, 0.00889024359267454, 0.024357996440376173, 0.032410584915732565, 0.03612525458248461, 0.041938017890175594, 0.04277980165958306, 0.03569174849180912, 0.03717378110459224, 0.0473514228314218, 0.04258458407529875, 0.05464156781846308, 0.048201347400533834, 0.03750158047793639, 0.04534521609236131, 0.04090005285545284, 0.03639145264847499, 0.03556679097940085, 0.03759943963576329, 0.03981703659268154, 0.0359939347237066, 0.030540000493376462, 0.025653065763784122, 0.010860463970841838, 0.02075729360645573, 0.01800761577201815, 0.02327972387456856, 0.028419139320102094, 0.029064063573040144, 0.02648093913813887, 0.043855732499876066, 0.06415065837508505, 0.047557585385226364, 0.0397153690845522, 0.04073810167325975, 0.029865265820322007, 0.02367840073752392, 0.027101459871804234, 0.023138440532501026, 0.010853466067743067, 0.018421823150497785, 0.015012591994914226, 0.01525551162959915, 0.01867017646485336, 0.002397791125750892, -0.015934809942934502, -0.016092732860634618, -0.007710156136704227, 0.001856450562962797, 0.0005047955577992536, -0.0041749646087770875, -0.026523040095751016, -0.018457386568998313, -0.019733476258922744, -0.009632458466104055, -0.030117283652685956, -0.028539304339505356, -0.026081348969404616, -0.01971065614796097, -0.015680069049845313, -0.0314623829665891, -0.0380911822461969, -0.0331722111648185, -0.017453288180548032, -0.013008475576646084, -0.009823832239172492, 0.0013745704467353903, 0.006549130341930942, 0.013511903343421672, 0.020513066871637342, 0.02335944799827505, 0.029846072314696492, 0.016794075489727556, 0.028209790879073493, 0.04042332133278581, 0.059906135587389775, 0.0652024201879089, 0.06133235903056877, 0.05354478509890748, 0.05547546970352202, 0.05939329687010586, 0.07760592126294052, 0.06714127899840427, 0.0806968710390934, 0.07606533218715472, 0.09049514804677772, 0.08352828190795147, 0.07644015008460658, 0.07082421590080235, 0.07085616855437826, 0.07564159183473196, 0.079740266128834, 0.0787177727673758, 0.03721378645456741, 0.04200354016169938, 0.018697829716193493, -0.0003076704612690051, 0.011032791909285855, -0.00037620503174240483, 0.012498234712611245, 0.02792995270871379, 0.029729603293413343, 0.02732420177149164, 0.02711004584273846, 0.0159544821179749, 0.0072099223368493615, 0.01884134937310966, 0.0037408486907029026, -0.011626578953379596, -0.0255172884751087, -0.009052037845705962, 0.004175889373160269, 0.018633540372670954, 0.03270168337779422, 0.024148635077147818, 0.025098683459967575, 0.018226858480488994, 0.018134596983642393, 0.0205708058034193, 0.022063506505322517, 0.005246230697292464, 0.002961343082986012, -0.0036577608142494, 0.017823116605474754, 0.014645792204214692, 0.037575502177272124, 0.03477746212121202, 0.019563037750367274, 0.01030248859199312, -0.011879024571680996, -0.0426127952262737, -0.06389841673670582, -0.05353794081324603, -0.07381394716570755, -0.06786751091503429, -0.06605901578971596, -0.05758640226628897, -0.03207883665630151, -0.0150450658654957, 0.0052090633029664435, -0.035551985310993794, -0.04060809889560513, -0.04959349593495943, -0.05513739812051843, -0.040539335859148595, -0.05898457497718523, -0.07497265808093201, -0.075676885209219, -0.06618612204943375, -0.06482841500867942, -0.06686936988042014, -0.07202071362056839, -0.07834910500513059, -0.09358233830277851, -0.08823529411764708, -0.07062433719172367, -0.060079159898419054, -0.07473814206650509, -0.04074315514993476, -0.035500870465346, -0.03263869064611291, -0.04234409123999039, -0.05361846079497401, -0.016242661448140905, -0.018245132179116164, -0.02590201104100942, -0.05646402462485567, -0.052772069071409966, -0.03826931650202958, -0.03560058559709989, -0.0015468456248065587, -0.00653734100760317, 0.00831669993346651, -0.012773980674051444, -0.012357436528768195, 0.01064408543652573, 0.038292635845960765, 0.05458990994480484, 0.031448039262400584, 0.014445158373194378, 0.039490321953117524, 0.0552400998580449, 0.05321754620351804, 0.06150823636088876, 0.05104218362282875, 0.02561363470829603, 0.010661344108268578, 0.02249246131791005, 0.015508955875928487, 0.007878625265263173, 0.01655026559118644, 0.06436082604839743, 0.07169483735893367, 0.028098269345534055, 0.004421241944347454, 0.023276407337128324, 0.0009430115200326217, -0.017830868600214544, -0.01485800722162578, -0.06301052986675015, -0.06759462293831642, -0.06301409055146268, -0.045670924258849, -0.06758498854087092, -0.0869023260189562, -0.12043906663234016, -0.12463107991912803, -0.14907145972499602, -0.1446620778860812, -0.11053767476775822, -0.11663703565079075, -0.10613475588542265, -0.13119567770730556, -0.1277761958997723, -0.1317845928654059, -0.1131758356216267, -0.10462175766479609, -0.09338135757106947, -0.08570540857054088, -0.051452081316553655, -0.05716428381353267, -0.07965718366861096, -0.061442797922523495, -0.06281139650752177, -0.03344855885205533, -0.02981827172703677, -0.011712881623507254, -0.03793418647166358, -0.08885806978875155, -0.08980095664249343, -0.097980572597137, -0.08931297709923669, -0.1454464638482813, -0.11204137542565995, -0.08422625180300847, -0.05566642718394943, -0.04860889880004249, -0.0025088348755024636, -0.005292862736625992, -0.048343707142103676, -0.04525713680419474, -0.07210877293131623, -0.022901176152494318, -0.01501673059658859, -0.012127804214819848, -0.01574887222059096, -0.008984049277779182, -0.02887614984668707, -0.05633250555482949, -0.08378833494922688, -0.08084877097552212, -0.05566620967950542, -0.08094935905571765, -0.040388139048749716, -0.03717902536921747, -0.03662172838247668, -0.03509133537732201, -0.010372129849564371, 0.0071213068413469305, 0.07405209922585754, 0.0908266500410917, 0.0911707180776753, 0.12518060451944746, 0.11533692800092266, 0.10499521854081117, 0.10625827721265746, 0.09367413566983851, 0.058740804846386885, 0.05858558436269856, 0.10334506554333078, 0.10426316811361058, 0.13215883668903805, 0.12491006696552098, 0.12497583340238072, 0.11324286382779603, 0.10001898408049259, 0.08609505197730893, 0.07577837570699009, 0.08274238227146813, 0.09197994987468672, 0.11006895011584739, 0.05240090941463271, 0.0541346738109707, 0.015140920826161919, 0.0010421955586437104, -0.0059520660282524895, -0.007209420309204018, -0.012160972877830245, 0.01762340431274123, -0.0016309351571748287, 0.0012989712147979393, -0.0024581978337131494, -0.043017104114232874, -0.03298777177425605, -0.05872171456206887, -0.06525725929699444, -0.05641169566770432, -0.06615919076325749, -0.07880901700305187, -0.10532000401888875, -0.12031548276901427, -0.14350639727313153, -0.14919315162845614, -0.13414514386722964, -0.14618104492742878, -0.16183032962698152, -0.12797700862176675, -0.08182328620284829, -0.08174073221275613, -0.09412694769591712, -0.1316451239752553, -0.10809474232170735, -0.10784467850966839, -0.1009086814846214, -0.07010144153764031, -0.09412672645501241, -0.060972001828891176, -0.04632704300639834, -0.06980321434254488, -0.08360340421047074, -0.07568366976285612, -0.07433837307800906, -0.01679950621259696, -0.027910707124715994, -0.02198485667928607, 0.008965066216142459, -0.006029797474515264, 0.0011215055528202011, -0.0066536748329620865, -0.008590920576097005, 0.022814231054765433, 0.04291152382050978, 0.051233122271373555, 0.009697175910173605, 0.08792099852306623, 0.11571609259640558, 0.07777841462715651, 0.054286190793862765, 0.04867379917530368, 0.05635943922076447, 0.0916278126900465, 0.09603992179064402, 0.11785609397944197, 0.12861688962225237, 0.09932824252167438, 0.10702115158636905, 0.07747608409234119, 0.09848549186128808, 0.10551975822546611, 0.11357101782633694, 0.0676210526315788, 0.03948864424170151, 0.021399132025001988, 0.037237699733230656, 0.035004285674786306, 0.025548923758338615, 0.04080522306855272, 0.03868958168255965, 0.039376699083545796, 0.03780477444567154, 0.014404957985539202, 0.006166353279504433, 0.015732005830743523, 0.022297107554057893, -0.02539462826416805, -0.0385436714033377, -0.042331418847053714, -0.033351788868675736, -0.02848109673476973, -0.02960771772732118, -0.02652871733651674, -0.034133872943181154, -0.02508998239760396, -0.03174686055922504, -0.024729722671958942, 0.003609054480800289, 0.008984821499774087, -0.018039377383774813, -0.019110251450677018, -0.03346243222308298, -0.022953147184098355, 0.009817260237428238, 0.02370326821837998, 0.014609571788413156, 0.02265380813720519, 0.019197851104732155, 0.013852587558808027, 0.007602262264895465, 0.048023512915925215, 0.07181838026631748, 0.09673335718413734, 0.08357380383103852, 0.06108689177114068, 0.09053950115371934, 0.07246060142572319, 0.06734486824426233, 0.08329631274988891, 0.07664193759546145, 0.07900566084174243, 0.08708428308571103, 0.06387791252214203, 0.07349211599955896, 0.02834968200927035, 0.027529862215870837, 0.025785203630813713, 0.0021682223221131114, 0.001923228916932418, -0.005616208272097523, -0.0076247567965503915, 0.016135064379975583, 0.04001506956217549, 0.021715583969566632, -0.005899551007622406, -0.0031882088538128794, -0.021969123063660834, -0.04656090124541368, -0.05006444960041234, -0.022112573099415278, -0.042323822265675215, -0.03576883910386963, -0.06069958847736623, -0.041493354976158914, -0.022915762880547197, -0.051989924433249346, -0.03891407324402796, -0.024149004495825244, -0.024605290137379554, -0.03807569539443689, -0.023646593673965932, -0.021119644300727436, 0.006557545019083566, 0.01289096605207729, 0.027935010482180278, 0.026634827332843614, 0.02518924562777336, 0.03733410727949149, 0.03407835919011304, 0.03367643177619439, 0.05145188639253928, 0.040775014459224934, 0.028022148623473297, 0.02797672915319982, 0.043826479701696286, 0.036440855704698016, 0.05673076923076925, 0.07333333333333325, 0.05777789839339986, 0.036174813786475246, 0.06345709526624033, 0.05404620462046217, 0.06542355675473521, 0.043448348856900854, 0.02282639922693197, 0.03321288128387723, 0.04949917854682284, 0.042938001842832696, 0.03642001261299144, 0.04361223038634754, 0.026867066427848307, 0.019562299989676735, 0.00883064003053824, -0.0016986106885711338, 0.016035282720644473, 0.02852541982976753, 0.023068109484404742, 0.02240817987587751, 0.010679957280170793, 0.007455446050145476, 0.0028473517109308677, 0.018338427340927943, 0.015076388714102329, 0.008803481147974024, 0.018540414077633294, 0.03892851722567925, 0.03614396926498831, 0.03731757814472547, 0.050414346922544206, 0.06124394517159626, 0.04241612772837522, 0.04298381844596966, 0.050900155458602825, 0.0641071156869708, 0.08474835942088199, 0.08877230880008224, 0.06342473362621837, 0.05770395799676886, 0.06619846863749301, 0.05319605319605336, 0.05073562869710302, 0.06366121601782004, 0.060541849553503946, 0.07186936536556887, 0.07153431188056714, 0.06252640473172799, 0.06246733530773252, 0.0537353533845808, 0.06300005031952916, 0.0734705256221806, 0.0710570617352193, 0.06585638099962798, 0.07391519960327297, 0.07921310494427392, 0.07276229994072314, 0.06534706498186149, 0.06976630726447786, 0.060339791646383034, 0.0640173904547896, 0.062371021389205916, 0.0633497322056078, 0.05394111148470149, 0.04010784500858944, 0.04904437348076818, 0.03815733722517778, 0.038712267938967315, 0.029607293793627365, 0.03195551524986895, 0.023613059710365425, 0.040397747693782016, 0.04012991699747381, 0.021941410247257487, 0.021811521811521795, 0.017224630985381628, 0.010888399756474376, -0.0020348497251783115, -0.0078705113489963, -0.007672875793847567, -0.004686390532544382, -0.0007318743064901323, -0.009759072888075537, -0.006725622527344655, -0.02819145251783617, -0.020723593013584618, -0.017935258092738326, -0.011083940855177388, -0.009212386555388363, -0.004040125794825822, -0.002180749718798003, -0.010923716806069739, -0.020238393691455636, -0.023402606872664267, -0.015415318973229675, -0.018537028623352936, -0.025757884951137067, -0.021829592741660298, 0.0005303816441830644, -0.008695451076524696, -0.0036240301073270365, -0.014278805186430543, -0.019082645201582094, -0.028782339380108546, -0.03133220047021579, -0.026692132109749855, -0.046257904611892164, -0.03463954251429646, -0.02186282611261947, -0.016725352112676006, -0.01759726053457622, -0.03702216131928371, -0.027362535831892187, -0.03842459173871271, -0.013352340223330983, -0.013990138485856507, -0.015097878326104763, -0.02516638935108162, -0.035074798619102454, -0.03849079217277063, -0.030183123217079277, -0.02601663585951941, -0.032473423433901694, -0.038033460111533746, -0.051256960462244594, -0.05911489676881776, -0.04680336071869107, -0.06155705883720397, -0.08073660920070058, -0.07374314708970009, -0.06320820704126828, -0.05537253802481246, -0.03643180531975099, -0.0014625842184765592, 0.009924783120659475, 0.007992725184263527, 0.025938699179093527, 0.026292789512017523, 0.012430905887180321, 0.03070483195818907, 0.03013652207591022, 0.06437841949017398, 0.05891952455183169, 0.06059793864671903, 0.049460604893084126, 0.05082069196535399, 0.04310775749208551, 0.042860868122229334, 0.04989743834374849, 0.05326365750173778, 0.04331530505740577, 0.042653129003178636, 0.0608756281104994, 0.07662454216896708, 0.08428083789690821, 0.08595325953259536, 0.07349350522511977, 0.09742624290916302, 0.11550708286323186, 0.12494962724158754, 0.11672764379402167, 0.12507729217679509, 0.1167559895259771, 0.09395860346731988, 0.09015847332603633, 0.09429751673709696, 0.07606173950097062, 0.08546826579613453, 0.09617585351897762, 0.08390065261279878, 0.08691872077449081, 0.06661595555862898, 0.061276595744680806, 0.054057158610549605, 0.04414666605479334, 0.032833917755817676, 0.03651134133540235, 0.047259666750016915, 0.045027034395020094, 0.052823232208288884, 0.05133918421172301, 0.0527848562067712, 0.04480453257790362, 0.032893254629838165, 0.047584535592145594, 0.06084632113084454, 0.0673929854887867, 0.06238995982122719, 0.05902184662411214, 0.06065151684764358, 0.054491965499565476, 0.04836440379880402, 0.04422141385808831, 0.028863671283390735, 0.03649459783913578, 0.04106825183321039, 0.051875481245187594, 0.045002833108137574, 0.051611640349732424, 0.04766958329723647, 0.05179868557592515, 0.05095844228815927, 0.03948936908038769, 0.054837514439528334, 0.07086977541423112, 0.0689594356261023, 0.06162212143895007, 0.04764488821358803, 0.07095652173913036, 0.06567228707306527, 0.062218858131487975, 0.06347251037344392, 0.06598412216389749, 0.07577542206517474, 0.07629610412072463, 0.061926115737774845, 0.04909544205075744, 0.051332171843793795, 0.06059255486226078, 0.04854983746358754, 0.048970706344845016, 0.05194178829055529, 0.05107865357172847, 0.06641208345778038, 0.04542295786215167, 0.04067768353929191, 0.050258297952439746, 0.056933119225876405, 0.05164319248826299, 0.04918032786885229, 0.040286113623283715, 0.0388024099854003, 0.06217551760805651, 0.05239994214517418, 0.04336048921630997, 0.04192789968652044, 0.04885838120321018, 0.03509789702683097, 0.02470363754465743, 0.024564891070631534, 0.029541706537451473, 0.017334227478713382, 0.026351131369037883, 0.008576642335766493, -0.013317799248739548, -0.014076010456464894, -0.01001360875835311, -0.017016288751465214, -0.03517899665819546, -0.020433224624552104, -0.007938586770365297, -0.018977374663610047, -0.02116359861039019, -0.00992257987076639, 0.0004431552654904358, -0.02122589559262289, -0.029771387605544097, -0.029695546654564864, -0.020885777218376367, -0.008906052963429945, -0.005058088990753218, -0.003127598083851324, -0.005731896433268546, -0.004260499087035852, -0.002379828495004288, 0.008590487124166213, 0.01994977954406152, 0.030444964871194413, 0.021255521879518957, 0.02187728919598486, 0.023176712545483147, 0.03054212776157561, 0.015365094470548568, 0.03638702933075999, 0.050264657980455985, 0.04482969610442589, 0.044070578580221564, 0.05575657894736841, 0.06593383801721475, 0.05737890215581909, 0.057395860836362944, 0.05789120760774602, 0.06062089503528756, 0.0539087914974441, 0.052732251439616684, 0.07845905194459779, 0.0841320990948462, 0.07475191150154537, 0.07003977021652674, 0.06178926441351895, 0.05772896973548325, 0.05623510722795855, 0.046751298098754335, 0.04943213187159867, 0.0505884904284053, 0.047453635560788854, 0.030570309773969573, 0.03482905982905993, 0.04028785351282149, 0.04372844577052737, 0.04717819868573625, 0.0514236979318099, 0.060198383254578935, 0.06364324093651197, 0.05373238481071563, 0.06785351760755831, 0.07793585914164436, 0.07454432154541202, 0.05860606296454818, 0.049309051330391984, 0.030078942819276477, 0.040720679190196396, 0.04036693718989204, 0.013650568454149914, 0.0059481686908291476, 0.008935007777820081, 0.0074971601666034005, 0.0017974721864830734, 0.010023839468398688, -0.006796734571599794, -0.022623584852524137, -0.0498195217325913, -0.037948659914370464, -0.04802435037483799, -0.027228884009833143, -0.024488037022464604, -0.02010796982864016, -0.006063108891934066, -0.009565363315992559, 0.002914369512353465, -0.0005906129454973374, 0.0077980974854359175, 0.005175239884339655, -0.0012401065032645597, -0.000459888523022034, 0.0038205615677098237, -0.0013125751996206914, -0.005853570134106367, 0.0024445833180164467, 0.010298584870712224, 0.026757910831826104, -0.00463253479015191, -0.00510194650350293, 0.015490533562822595, 0.003612442010799244, 0.0036100404249317375, 0.007403788334335637, 0.022909702154985112, 0.015035218465998756, 0.034989160147044895, 0.05616812017365258, 0.08830279767322224, 0.07518575881741718, 0.10087433635305021, 0.07413480458350996, 0.0721007951446242, 0.07459592275501947, 0.05490084985835697, 0.05572498964569461, 0.0364440660398313, 0.0382647879000535, 0.019207199956097876, 0.02130895232511265, 0.015940547054742016, 0.03329284452296832, 0.013184491832535228, 0.025209010258844033, 0.030898517964890404, 0.03509415280808237, 0.04119609856262807, 0.039808223158506406, 0.05340156867107981, 0.06014381003697444, 0.06282361706090533, 0.08517409919296792, 0.07139779305693472, 0.06618168252191747, 0.04571639586410625, 0.039219276402519654, 0.03346022841114005, 0.03513877268924359, 0.03637851104445056, 0.03630429233069554, -0.0010577647101006615, 0.0049208886334657365, 0.0002508061626655955, 0.009449803501250686, 0.03682618114112812, 0.04072898462855323, 0.046752504598460476, 0.04357802244712827, 0.049733474523036225, 0.049801761719380666, 0.04496845737701971, 0.0222815923056372, 0.03583945935258903, 0.029895126684827966, 0.023146838308105933, 0.03045010894018052, 0.027486749661037813, 0.022600251502026047, 0.035996549963915214, 0.028392162361106088, 0.034680966650894485, 0.032575678223525584, 0.03474505140938655, 0.04172644249273927, 0.04959742919697718, 0.04931463406039671, 0.04429130388804681, 0.037829005165688434, 0.04415324702662882, 0.04194746010240524, 0.06256393689764694, 0.0626038781163436, 0.06051868037396568, 0.01661682209913473, -0.008357219325206389, -0.004146533703437094, -0.002507890471722285, 0.007618755432837299, 0.010839830392559202, -0.00030760291880982393, -0.005314666070414864, 0.00393755662415507]",,,30.0,0.03,0.95
